Unnamed: 0,datetime,datetimeEpoch,tempmax,humidity,windspeed,cloudcover,description
0.0,2010-01-01,1262284200.0,29.1,82.9,18.4,33.6,Partly cloudy throughout the day.
1.0,2010-01-02,1262370600.0,29.1,83.6,17.3,50.9,Partly cloudy throughout the day.
2.0,2010-01-03,1262457000.0,28.1,75.2,18.4,53.6,Partly cloudy throughout the day.
3.0,2010-01-04,1262543400.0,28.1,79.8,14.8,50.8,Partly cloudy throughout the day.
4.0,2010-01-05,1262629800.0,29.1,81.0,13.0,30.3,Becoming cloudy in the afternoon.
5.0,2010-01-06,1262716200.0,29.1,79.2,22.3,30.2,Partly cloudy throughout the day.
6.0,2010-01-07,1262802600.0,28.1,74.6,20.5,47.8,Partly cloudy throughout the day with early morning rain.
7.0,2010-01-08,1262889000.0,26.7,90.9,23.8,87.7,Partly cloudy throughout the day with rain in the morning and afternoon.
8.0,2010-01-09,1262975400.0,28.1,90.1,18.4,84.5,Partly cloudy throughout the day with morning rain.
9.0,2010-01-10,1263061800.0,29.1,86.8,14.8,52.1,Partly cloudy throughout the day with morning rain.
10.0,2010-01-11,1263148200.0,31.1,86.1,18.4,47.8,Partly cloudy throughout the day with early morning rain.
11.0,2010-01-12,1263234600.0,31.1,82.7,18.4,44.6,Partly cloudy throughout the day.
12.0,2010-01-13,1263321000.0,31.1,83.0,14.8,46.2,Partly cloudy throughout the day.
13.0,2010-01-14,1263407400.0,30.1,82.0,16.6,42.7,Partly cloudy throughout the day.
14.0,2010-01-15,1263493800.0,29.1,75.3,24.1,42.5,Partly cloudy throughout the day.
15.0,2010-01-16,1263580200.0,30.1,75.9,24.1,41.9,Partly cloudy throughout the day.
16.0,2010-01-17,1263666600.0,29.1,80.5,22.3,43.8,Partly cloudy throughout the day.
17.0,2010-01-18,1263753000.0,30.1,81.0,16.6,41.2,Partly cloudy throughout the day.
18.0,2010-01-19,1263839400.0,29.1,81.2,22.3,41.1,Partly cloudy throughout the day.
19.0,2010-01-20,1263925800.0,29.1,75.3,24.1,24.8,Partly cloudy throughout the day.
20.0,2010-01-21,1264012200.0,29.1,67.3,29.5,19.6,Clear conditions throughout the day.
21.0,2010-01-22,1264098600.0,29.1,71.5,18.4,35.0,Partly cloudy throughout the day.
22.0,2010-01-23,1264185000.0,28.1,72.8,20.5,39.9,Partly cloudy throughout the day.
23.0,2010-01-24,1264271400.0,27.1,77.9,18.4,44.7,Partly cloudy throughout the day with rain.
24.0,2010-01-25,1264357800.0,29.1,76.6,18.4,37.3,Partly cloudy throughout the day.
25.0,2010-01-26,1264444200.0,31.1,76.8,20.5,43.2,Partly cloudy throughout the day.
26.0,2010-01-27,1264530600.0,28.1,84.5,22.3,46.7,Partly cloudy throughout the day with morning rain.
27.0,2010-01-28,1264617000.0,29.1,80.6,22.3,44.2,Partly cloudy throughout the day.
28.0,2010-01-29,1264703400.0,29.1,76.2,22.3,46.3,Partly cloudy throughout the day.
29.0,2010-01-30,1264789800.0,30.1,75.2,24.1,34.2,Clearing in the afternoon.
30.0,2010-01-31,1264876200.0,29.1,74.5,22.3,29.3,Partly cloudy throughout the day.
31.0,2010-02-01,1264962600.0,29.1,76.2,18.4,44.6,Partly cloudy throughout the day.
32.0,2010-02-02,1265049000.0,29.1,73.5,22.3,36.9,Partly cloudy throughout the day.
33.0,2010-02-03,1265135400.0,29.1,71.2,18.4,33.0,Partly cloudy throughout the day.
34.0,2010-02-04,1265221800.0,29.1,72.3,20.5,44.1,Partly cloudy throughout the day.
35.0,2010-02-05,1265308200.0,29.1,74.0,20.5,41.8,Partly cloudy throughout the day.
36.0,2010-02-06,1265394600.0,29.1,77.9,18.4,40.5,Partly cloudy throughout the day.
37.0,2010-02-07,1265481000.0,29.1,74.2,18.4,37.8,Partly cloudy throughout the day.
38.0,2010-02-08,1265567400.0,29.1,72.9,20.5,20.8,Partly cloudy throughout the day.
39.0,2010-02-09,1265653800.0,29.1,76.1,16.6,25.3,Partly cloudy throughout the day.
40.0,2010-02-10,1265740200.0,29.1,77.4,16.6,36.7,Partly cloudy throughout the day.
41.0,2010-02-11,1265826600.0,29.1,81.1,18.4,60.1,Partly cloudy throughout the day.
42.0,2010-02-12,1265913000.0,30.1,82.7,22.3,57.4,Partly cloudy throughout the day.
43.0,2010-02-13,1265999400.0,30.1,80.7,18.4,43.7,Partly cloudy throughout the day.
44.0,2010-02-14,1266085800.0,30.1,80.4,16.6,45.1,Partly cloudy throughout the day.
45.0,2010-02-15,1266172200.0,30.1,79.6,18.4,54.8,Partly cloudy throughout the day.
46.0,2010-02-16,1266258600.0,30.1,75.4,14.8,42.9,Partly cloudy throughout the day.
47.0,2010-02-17,1266345000.0,31.1,79.9,18.4,43.0,Partly cloudy throughout the day.
