Unnamed: 0,datetime,datetimeEpoch,tempmax,humidity,windspeed,cloudcover,description
0.0,2010-01-01,1262284200.0,27.1,72.4,20.5,37.9,Partly cloudy throughout the day with early morning rain.
1.0,2010-01-02,1262370600.0,27.0,67.0,18.4,31.5,Partly cloudy throughout the day.
2.0,2010-01-03,1262457000.0,26.1,67.9,16.6,45.4,Partly cloudy throughout the day.
3.0,2010-01-04,1262543400.0,27.1,59.8,20.5,29.8,Partly cloudy throughout the day.
4.0,2010-01-05,1262629800.0,28.0,60.8,20.5,17.2,Clear conditions throughout the day.
5.0,2010-01-06,1262716200.0,26.3,64.1,14.8,37.9,Partly cloudy throughout the day.
6.0,2010-01-07,1262802600.0,25.6,75.2,13.8,42.4,Partly cloudy throughout the day.
7.0,2010-01-08,1262889000.0,26.5,75.2,12.1,66.3,Partly cloudy throughout the day.
8.0,2010-01-09,1262975400.0,27.5,74.7,18.5,78.7,Partly cloudy throughout the day.
9.0,2010-01-10,1263061800.0,27.0,75.4,16.6,63.9,Partly cloudy throughout the day with rain.
10.0,2010-01-11,1263148200.0,28.5,75.3,16.6,53.3,Partly cloudy throughout the day with early morning rain.
11.0,2010-01-12,1263234600.0,27.8,78.5,13.0,67.2,Partly cloudy throughout the day.
12.0,2010-01-13,1263321000.0,28.0,77.9,13.9,66.7,Partly cloudy throughout the day.
13.0,2010-01-14,1263407400.0,28.0,74.4,17.4,53.3,Partly cloudy throughout the day.
14.0,2010-01-15,1263493800.0,26.0,72.7,19.5,55.1,Partly cloudy throughout the day.
15.0,2010-01-16,1263580200.0,27.0,68.5,18.6,47.3,Partly cloudy throughout the day.
16.0,2010-01-17,1263666600.0,27.0,68.7,18.4,30.6,Partly cloudy throughout the day.
17.0,2010-01-18,1263753000.0,28.0,67.3,13.9,61.5,Partly cloudy throughout the day.
18.0,2010-01-19,1263839400.0,27.5,72.6,15.6,58.3,Partly cloudy throughout the day.
19.0,2010-01-20,1263925800.0,26.5,65.5,14.8,51.6,Partly cloudy throughout the day.
20.0,2010-01-21,1264012200.0,26.1,59.6,13.0,9.6,Clear conditions throughout the day.
21.0,2010-01-22,1264098600.0,27.0,53.5,13.0,5.4,Clear conditions throughout the day.
22.0,2010-01-23,1264185000.0,27.0,53.8,13.8,12.4,Clear conditions throughout the day.
23.0,2010-01-24,1264271400.0,26.5,60.4,12.1,27.1,Partly cloudy throughout the day.
24.0,2010-01-25,1264357800.0,26.0,65.4,16.6,47.4,Partly cloudy throughout the day.
25.0,2010-01-26,1264444200.0,26.5,63.8,16.6,50.9,Partly cloudy throughout the day.
26.0,2010-01-27,1264530600.0,27.0,64.8,15.7,48.8,Partly cloudy throughout the day.
27.0,2010-01-28,1264617000.0,27.0,66.9,18.6,49.8,Partly cloudy throughout the day.
28.0,2010-01-29,1264703400.0,27.3,64.6,15.6,28.8,Partly cloudy throughout the day.
29.0,2010-01-30,1264789800.0,28.0,57.9,14.8,18.2,Clear conditions throughout the day.
30.0,2010-01-31,1264876200.0,28.1,62.2,13.9,40.0,Partly cloudy throughout the day.
31.0,2010-02-01,1264962600.0,27.8,62.0,13.0,37.4,Partly cloudy throughout the day.
32.0,2010-02-02,1265049000.0,27.3,61.9,18.4,36.2,Partly cloudy throughout the day.
33.0,2010-02-03,1265135400.0,28.0,53.4,14.8,27.9,Becoming cloudy in the afternoon.
34.0,2010-02-04,1265221800.0,27.3,57.3,24.1,29.6,Partly cloudy throughout the day.
35.0,2010-02-05,1265308200.0,27.6,57.6,18.4,28.4,Partly cloudy throughout the day.
