ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,31.61997,27.392063571568325,31.62566563070594,31.61997,31.61997,-2.151361027102838,-2.151361027102838,-2.151361027102838,-0.023841352102832447,-0.023841352102832447,-0.023841352102832447,-2.127519675000005,-2.127519675000005,-2.127519675000005,0.0,0.0,0.0,29.46860897289716
2010-01-02,31.6135219400385,27.236985768393495,31.73901040998528,31.6135219400385,31.6135219400385,-2.1236816926567776,-2.1236816926567776,-2.1236816926567776,-0.02694147896958914,-0.02694147896958914,-0.02694147896958914,-2.0967402136871884,-2.0967402136871884,-2.0967402136871884,0.0,0.0,0.0,29.48984024738172
2010-01-03,31.607073880077,27.447635991477924,31.733105170641124,31.607073880077,31.607073880077,-2.0428319435705067,-2.0428319435705067,-2.0428319435705067,0.027404122950211728,0.027404122950211728,0.027404122950211728,-2.0702360665207187,-2.0702360665207187,-2.0702360665207187,0.0,0.0,0.0,29.56424193650649
2010-01-04,31.600625820115493,27.544182862135912,31.81847538977859,31.600625820115493,31.600625820115493,-2.0741574731268773,-2.0741574731268773,-2.0741574731268773,-0.026273798351132856,-0.026273798351132856,-0.026273798351132856,-2.0478836747757443,-2.0478836747757443,-2.0478836747757443,0.0,0.0,0.0,29.526468346988615
2010-01-05,31.594177760153993,27.509650696109812,31.732656327212183,31.594177760153993,31.594177760153993,-1.987593690820175,-1.987593690820175,-1.987593690820175,0.04183991464634022,0.04183991464634022,0.04183991464634022,-2.029433605466515,-2.029433605466515,-2.029433605466515,0.0,0.0,0.0,29.606584069333817
2010-01-06,31.587729700192494,27.453027442061064,31.76979796243518,31.587729700192494,31.587729700192494,-2.0144126942732243,-2.0144126942732243,-2.0144126942732243,0.00010227148725654894,0.00010227148725654894,0.00010227148725654894,-2.014514965760481,-2.014514965760481,-2.014514965760481,0.0,0.0,0.0,29.573317005919268
2010-01-07,31.581281640230994,27.310270786542333,31.693806973182685,31.581281640230994,31.581281640230994,-1.994932384248623,-1.994932384248623,-1.994932384248623,0.007710320339989831,0.007710320339989831,0.007710320339989831,-2.002642704588613,-2.002642704588613,-2.002642704588613,0.0,0.0,0.0,29.58634925598237
2010-01-08,31.574833580269487,27.216591565594076,31.667001046752688,31.574833580269487,31.574833580269487,-2.0170689862547784,-2.0170689862547784,-2.0170689862547784,-0.023841352103000268,-0.023841352103000268,-0.023841352103000268,-1.993227634151778,-1.993227634151778,-1.993227634151778,0.0,0.0,0.0,29.55776459401471
2010-01-09,31.568385520307988,27.411182211116813,31.74899431934069,31.568385520307988,31.568385520307988,-2.0125304148714926,-2.0125304148714926,-2.0125304148714926,-0.026941478969614657,-0.026941478969614657,-0.026941478969614657,-1.985588935901878,-1.985588935901878,-1.985588935901878,0.0,0.0,0.0,29.555855105436496
2010-01-10,31.561937460346485,27.44945967847446,31.69409442129258,31.561937460346485,31.561937460346485,-1.9515647306376598,-1.9515647306376598,-1.9515647306376598,0.027404122950242703,0.027404122950242703,0.027404122950242703,-1.9789688535879024,-1.9789688535879024,-1.9789688535879024,0.0,0.0,0.0,29.610372729708825
2010-01-11,31.555489400384985,27.296972822937796,31.61447375117981,31.555489400384985,31.555489400384985,-1.9988230200670136,-1.9988230200670136,-1.9988230200670136,-0.02627379835110957,-0.02627379835110957,-0.02627379835110957,-1.972549221715904,-1.972549221715904,-1.972549221715904,0.0,0.0,0.0,29.55666638031797
2010-01-12,31.549041340423486,27.40339159342605,31.63356149919966,31.549041340423486,31.549041340423486,-1.923629518025204,-1.923629518025204,-1.923629518025204,0.041839914646242024,0.041839914646242024,0.041839914646242024,-1.9654694326714461,-1.9654694326714461,-1.9654694326714461,0.0,0.0,0.0,29.62541182239828
2010-01-13,31.54259328046198,27.581695368178842,31.800809737249466,31.54259328046198,31.54259328046198,-1.9567431394595007,-1.9567431394595007,-1.9567431394595007,0.00010227148728357126,0.00010227148728357126,0.00010227148728357126,-1.9568454109467843,-1.9568454109467843,-1.9568454109467843,0.0,0.0,0.0,29.585850141002478
2010-01-14,31.53614522050048,27.483587498996897,31.781595272190064,31.53614522050048,31.53614522050048,-1.938078818919896,-1.938078818919896,-1.938078818919896,0.007710320339919353,0.007710320339919353,0.007710320339919353,-1.9457891392598154,-1.9457891392598154,-1.9457891392598154,0.0,0.0,0.0,29.598066401580585
2010-01-15,31.52969716053898,27.520473591137797,31.825636051486818,31.52969716053898,31.52969716053898,-1.9552696215214527,-1.9552696215214527,-1.9552696215214527,-0.02384135210295442,-0.02384135210295442,-0.02384135210295442,-1.9314282694184983,-1.9314282694184983,-1.9314282694184983,0.0,0.0,0.0,29.574427539017528
2010-01-16,31.52324910057748,27.361034543199192,31.88650486848955,31.52324910057748,31.52324910057748,-1.9398668297850266,-1.9398668297850266,-1.9398668297850266,-0.02694147896945413,-0.02694147896945413,-0.02694147896945413,-1.9129253508155724,-1.9129253508155724,-1.9129253508155724,0.0,0.0,0.0,29.583382270792455
2010-01-17,31.516801040615974,27.56428042493738,31.87073189112106,31.516801040615974,31.516801040615974,-1.8620920984039881,-1.8620920984039881,-1.8620920984039881,0.027404122950143026,0.027404122950143026,0.027404122950143026,-1.889496221354131,-1.889496221354131,-1.889496221354131,0.0,0.0,0.0,29.654708942211986
2010-01-18,31.510352980654474,27.526379363791357,31.82928964359434,31.510352980654474,31.510352980654474,-1.886700927371668,-1.886700927371668,-1.886700927371668,-0.026273798351115825,-0.026273798351115825,-0.026273798351115825,-1.860427129020552,-1.860427129020552,-1.860427129020552,0.0,0.0,0.0,29.623652053282807
2010-01-19,31.503904920692975,27.44519421482227,31.865962389938517,31.503904920692975,31.503904920692975,-1.783250271882575,-1.783250271882575,-1.783250271882575,0.0418399146463025,0.0418399146463025,0.0418399146463025,-1.8250901865288776,-1.8250901865288776,-1.8250901865288776,0.0,0.0,0.0,29.7206546488104
2010-01-20,31.49745686073147,27.596866529862787,31.95168857163802,31.49745686073147,31.49745686073147,-1.7828545340030084,-1.7828545340030084,-1.7828545340030084,0.0001022714874718845,0.0001022714874718845,0.0001022714874718845,-1.7829568054904803,-1.7829568054904803,-1.7829568054904803,0.0,0.0,0.0,29.714602326728464
2010-01-21,31.491008800769972,27.526837669133357,31.81161367138131,31.491008800769972,31.491008800769972,-1.7258984888291973,-1.7258984888291973,-1.7258984888291973,0.007710320339848877,0.007710320339848877,0.007710320339848877,-1.7336088091690462,-1.7336088091690462,-1.7336088091690462,0.0,0.0,0.0,29.765110311940774
2010-01-22,31.48456074080847,27.63920387168123,31.958887888182,31.48456074080847,31.48456074080847,-1.700588334724394,-1.700588334724394,-1.700588334724394,-0.02384135210311457,-0.02384135210311457,-0.02384135210311457,-1.6767469826212795,-1.6767469826212795,-1.6767469826212795,0.0,0.0,0.0,29.783972406084075
2010-01-23,31.478112680846966,27.591974203834102,31.90615607310257,31.478112680846966,31.478112680846966,-1.63913836322689,-1.63913836322689,-1.63913836322689,-0.026941478969712045,-0.026941478969712045,-0.026941478969712045,-1.6121968842571779,-1.6121968842571779,-1.6121968842571779,0.0,0.0,0.0,29.838974317620075
2010-01-24,31.471664620885466,27.728246070594796,32.104263078599445,31.471664620885466,31.471664620885466,-1.5125076888828368,-1.5125076888828368,-1.5125076888828368,0.027404122950295564,0.027404122950295564,0.027404122950295564,-1.5399118118331325,-1.5399118118331325,-1.5399118118331325,0.0,0.0,0.0,29.959156932002628
2010-01-25,31.465216560923967,28.023835141834073,32.164658181460084,31.465216560923967,31.465216560923967,-1.4862466851122238,-1.4862466851122238,-1.4862466851122238,-0.026273798351122077,-0.026273798351122077,-0.026273798351122077,-1.4599728867611017,-1.4599728867611017,-1.4599728867611017,0.0,0.0,0.0,29.978969875811742
2010-01-26,31.45876850096246,28.046362230425842,32.384423865800045,31.45876850096246,31.45876850096246,-1.3307463768757972,-1.3307463768757972,-1.3307463768757972,0.041839914646300914,0.041839914646300914,0.041839914646300914,-1.372586291522098,-1.372586291522098,-1.372586291522098,0.0,0.0,0.0,30.128022124086662
2010-01-27,31.45232044100096,28.07499433038512,32.305583884097864,31.45232044100096,31.45232044100096,-1.277975492557395,-1.277975492557395,-1.277975492557395,0.0001022714873704344,0.0001022714873704344,0.0001022714873704344,-1.2780777640447654,-1.2780777640447654,-1.2780777640447654,0.0,0.0,0.0,30.174344948443565
2010-01-28,31.44587238103946,28.136800950501243,32.31830748580705,31.44587238103946,31.44587238103946,-1.1691741980504848,-1.1691741980504848,-1.1691741980504848,0.007710320340046723,0.007710320340046723,0.007710320340046723,-1.1768845183905317,-1.1768845183905317,-1.1768845183905317,0.0,0.0,0.0,30.276698182988977
2010-01-29,31.43942432107796,28.389886340785385,32.59328560846783,31.43942432107796,31.43942432107796,-1.0933861734094095,-1.0933861734094095,-1.0933861734094095,-0.023841352103068706,-0.023841352103068706,-0.023841352103068706,-1.0695448213063408,-1.0695448213063408,-1.0695448213063408,0.0,0.0,0.0,30.34603814766855
2010-01-30,31.43297626111646,28.538012612585128,32.61452885422364,31.43297626111646,31.43297626111646,-0.9836269866370827,-0.9836269866370827,-0.9836269866370827,-0.026941478969597872,-0.026941478969597872,-0.026941478969597872,-0.9566855076674848,-0.9566855076674848,-0.9566855076674848,0.0,0.0,0.0,30.449349274479374
2010-01-31,31.426528201154955,28.521137337176818,32.61717148296737,31.426528201154955,31.426528201154955,-0.8116036403084472,-0.8116036403084472,-0.8116036403084472,0.027404122950204963,0.027404122950204963,0.027404122950204963,-0.8390077632586521,-0.8390077632586521,-0.8390077632586521,0.0,0.0,0.0,30.614924560846507
2010-02-01,31.420080141193456,28.431918024390765,32.80370385929591,31.420080141193456,31.420080141193456,-0.7435453380150572,-0.7435453380150572,-0.7435453380150572,-0.026273798351128325,-0.026273798351128325,-0.026273798351128325,-0.7172715396639289,-0.7172715396639289,-0.7172715396639289,0.0,0.0,0.0,30.6765348031784
2010-02-02,31.413632081231952,28.607937856933958,32.82551657022185,31.413632081231952,31.413632081231952,-0.5504390778090226,-0.5504390778090226,-0.5504390778090226,0.04183991464632687,0.04183991464632687,0.04183991464632687,-0.5922789924553494,-0.5922789924553494,-0.5922789924553494,0.0,0.0,0.0,30.86319300342293
2010-02-03,31.407184021270453,28.940523574573522,33.03449710226743,31.407184021270453,31.407184021270453,-0.46475507840474556,-0.46475507840474556,-0.46475507840474556,0.00010227148739744795,0.00010227148739744795,0.00010227148739744795,-0.464857349892143,-0.464857349892143,-0.464857349892143,0.0,0.0,0.0,30.942428942865707
2010-02-04,31.40073596130895,29.10803854368384,33.16054394810094,31.40073596130895,31.40073596130895,-0.32813130437228955,-0.32813130437228955,-0.32813130437228955,0.0077103203397772616,0.0077103203397772616,0.0077103203397772616,-0.33584162471206674,-0.33584162471206674,-0.33584162471206674,0.0,0.0,0.0,31.07260465693666
2010-02-05,31.394287901347447,29.124422763279945,33.2337465306594,31.394287901347447,31.394287901347447,-0.22989892851002636,-0.22989892851002636,-0.22989892851002636,-0.02384135210302286,-0.02384135210302286,-0.02384135210302286,-0.20605757640700348,-0.20605757640700348,-0.20605757640700348,0.0,0.0,0.0,31.164388972837422
2010-02-06,31.387839841385947,29.1243083202566,33.43589900282329,31.387839841385947,31.387839841385947,-0.10324679491595788,-0.10324679491595788,-0.10324679491595788,-0.026941478969809435,-0.026941478969809435,-0.026941478969809435,-0.07630531594614845,-0.07630531594614845,-0.07630531594614845,0.0,0.0,0.0,31.28459304646999
2010-02-07,31.381391781424448,29.375796052135403,33.420894152298,31.381391781424448,31.381391781424448,0.08006020305657506,0.08006020305657506,0.08006020305657506,0.027404122950105293,0.027404122950105293,0.027404122950105293,0.05265608010646977,0.05265608010646977,0.05265608010646977,0.0,0.0,0.0,31.461451984481023
2010-02-08,31.374943721462948,29.347844925567287,33.53365864840547,31.374943721462948,31.374943721462948,0.15384881454245528,0.15384881454245528,0.15384881454245528,-0.026273798351105042,-0.026273798351105042,-0.026273798351105042,0.18012261289356032,0.18012261289356032,0.18012261289356032,0.0,0.0,0.0,31.528792536005405
2010-02-09,31.36849566150144,29.505316870595134,33.69177663783576,31.36849566150144,31.36849566150144,0.3472976848565579,0.3472976848565579,0.3472976848565579,0.04183991464632528,0.04183991464632528,0.04183991464632528,0.30545777021023257,0.30545777021023257,0.30545777021023257,0.0,0.0,0.0,31.715793346357998
2010-02-10,31.362047601539942,29.78801970917796,33.9377568525911,31.362047601539942,31.362047601539942,0.42820532857789073,0.42820532857789073,0.42820532857789073,0.00010227148727958861,0.00010227148727958861,0.00010227148727958861,0.4281030570906112,0.4281030570906112,0.4281030570906112,0.0,0.0,0.0,31.790252930117834
2010-02-11,31.355599541578442,29.785895386499483,34.06455220879664,31.355599541578442,31.355599541578442,0.5552967771095015,0.5552967771095015,0.5552967771095015,0.00771032033990577,0.00771032033990577,0.00771032033990577,0.5475864567695957,0.5475864567695957,0.5475864567695957,0.0,0.0,0.0,31.910896318687943
2010-02-12,31.34915148161694,29.97162076074707,34.13336899469744,31.34915148161694,31.34915148161694,0.6396873348042399,0.6396873348042399,0.6396873348042399,-0.023841352102977005,-0.023841352102977005,-0.023841352102977005,0.6635286869072169,0.6635286869072169,0.6635286869072169,0.0,0.0,0.0,31.98883881642118
2010-02-13,31.342703421655436,30.08742578090863,34.23085937099258,31.342703421655436,31.342703421655436,0.7487056950045174,0.7487056950045174,0.7487056950045174,-0.026941478969695263,-0.026941478969695263,-0.026941478969695263,0.7756471739742127,0.7756471739742127,0.7756471739742127,0.0,0.0,0.0,32.09140911665995
2010-02-14,31.336255361693937,30.161994250935898,34.349051444993286,31.336255361693937,31.336255361693937,0.9111618498909031,0.9111618498909031,0.9111618498909031,0.02740412295013626,0.02740412295013626,0.02740412295013626,0.8837577269407667,0.8837577269407667,0.8837577269407667,0.0,0.0,0.0,32.24741721158484
2010-02-15,31.329807301732433,30.30926910688977,34.454851357664474,31.329807301732433,31.329807301732433,0.961500149993695,0.961500149993695,0.961500149993695,-0.02627379835114431,-0.02627379835114431,-0.02627379835114431,0.9877739483448393,0.9877739483448393,0.9877739483448393,0.0,0.0,0.0,32.29130745172613
2010-02-16,31.323359241770934,30.311590081293563,34.52784988598032,31.323359241770934,31.323359241770934,1.129544389593109,1.129544389593109,1.129544389593109,0.04183991464622708,0.04183991464622708,0.04183991464622708,1.0877044749468818,1.0877044749468818,1.0877044749468818,0.0,0.0,0.0,32.452903631364045
2010-02-17,31.316911181809434,30.279777401490893,34.62529993654339,31.316911181809434,31.316911181809434,1.1837504616071512,1.1837504616071512,1.1837504616071512,0.000102271487451497,0.000102271487451497,0.000102271487451497,1.1836481901196996,1.1836481901196996,1.1836481901196996,0.0,0.0,0.0,32.500661643416585
2010-02-18,31.310463121847928,30.393871628236464,34.87572150339225,31.310463121847928,31.310463121847928,1.2834979150119905,1.2834979150119905,1.2834979150119905,0.007710320340103614,0.007710320340103614,0.007710320340103614,1.2757875946718868,1.2757875946718868,1.2757875946718868,0.0,0.0,0.0,32.593961036859916
2010-02-19,31.304015061886428,30.484220200871384,34.71177330607789,31.304015061886428,31.304015061886428,1.3405392088200685,1.3405392088200685,1.3405392088200685,-0.023841352103137155,-0.023841352103137155,-0.023841352103137155,1.3643805609232054,1.3643805609232054,1.3643805609232054,0.0,0.0,0.0,32.64455427070649
2010-02-20,31.29756700192493,30.680862577422584,34.80772140111092,31.29756700192493,31.29756700192493,1.422809246733561,1.422809246733561,1.422809246733561,-0.02694147896972078,-0.02694147896972078,-0.02694147896972078,1.4497507257032818,1.4497507257032818,1.4497507257032818,0.0,0.0,0.0,32.72037624865849
2010-02-21,31.29111894196343,30.777212455843078,34.850633014402774,31.29111894196343,31.29111894196343,1.559680923903386,1.559680923903386,1.559680923903386,0.027404122950045656,0.027404122950045656,0.027404122950045656,1.5322768009533403,1.5322768009533403,1.5322768009533403,0.0,0.0,0.0,32.85079986586682
2010-02-22,31.284670882001922,30.781772302638466,35.04889945412157,31.284670882001922,31.284670882001922,1.5861072970520032,1.5861072970520032,1.5861072970520032,-0.02627379835111755,-0.02627379835111755,-0.02627379835111755,1.6123810954031208,1.6123810954031208,1.6123810954031208,0.0,0.0,0.0,32.87077817905393
2010-02-23,31.278222822040423,30.875780993732725,35.026494960291565,31.278222822040423,31.278222822040423,1.7323574619223434,1.7323574619223434,1.7323574619223434,0.04183991464619096,0.04183991464619096,0.04183991464619096,1.6905175472761527,1.6905175472761527,1.6905175472761527,0.0,0.0,0.0,33.01058028396277
2010-02-24,31.271774762078923,30.883237874296718,35.31083501098105,31.271774762078923,31.271774762078923,1.7672618377493832,1.7672618377493832,1.7672618377493832,0.00010227148735004251,0.00010227148735004251,0.00010227148735004251,1.767159566262033,1.767159566262033,1.767159566262033,0.0,0.0,0.0,33.03903659982831
2010-02-25,31.26532670211742,30.967708476140107,35.24575228825603,31.26532670211742,31.26532670211742,1.8504982937992713,1.8504982937992713,1.8504982937992713,0.007710320340033138,0.007710320340033138,0.007710320340033138,1.842787973459238,1.842787973459238,1.842787973459238,0.0,0.0,0.0,33.11582499591669
2010-02-26,31.25887864215592,30.900787864331264,35.31944631970664,31.25887864215592,31.25887864215592,1.8940379591131566,1.8940379591131566,1.8940379591131566,-0.02384135210287762,-0.02384135210287762,-0.02384135210287762,1.9178793112160344,1.9178793112160344,1.9178793112160344,0.0,0.0,0.0,33.15291660126908
2010-02-27,31.252430582194417,31.008644435199717,35.413317685491364,31.252430582194417,31.252430582194417,1.9659532925667174,1.9659532925667174,1.9659532925667174,-0.026941478969746302,-0.026941478969746302,-0.026941478969746302,1.9928947715364635,1.9928947715364635,1.9928947715364635,0.0,0.0,0.0,33.21838387476114
2010-02-28,31.245982522232914,31.182428305134714,35.482547011736145,31.245982522232914,31.245982522232914,2.0956740858787155,2.0956740858787155,2.0956740858787155,0.0274041229501982,0.0274041229501982,0.0274041229501982,2.0682699629285173,2.0682699629285173,2.0682699629285173,0.0,0.0,0.0,33.34165660811163
2010-03-01,31.239534462271415,31.224551685113706,35.442488089991926,31.239534462271415,31.239534462271415,2.1181319039474062,2.1181319039474062,2.1181319039474062,-0.026273798351094266,-0.026273798351094266,-0.026273798351094266,2.1444057022985006,2.1444057022985006,2.1444057022985006,0.0,0.0,0.0,33.35766636621882
2010-03-02,31.233086402309915,31.380447558487393,35.555689254527266,31.233086402309915,31.233086402309915,2.2634998965656945,2.2634998965656945,2.2634998965656945,0.04183991464625145,0.04183991464625145,0.04183991464625145,2.2216599819194434,2.2216599819194434,2.2216599819194434,0.0,0.0,0.0,33.49658629887561
2010-03-03,31.22663834234841,31.53371790629718,35.743390123279354,31.22663834234841,31.22663834234841,2.300443494311396,2.300443494311396,2.300443494311396,0.00010227148737706923,0.00010227148737706923,0.00010227148737706923,2.3003412228240188,2.3003412228240188,2.3003412228240188,0.0,0.0,0.0,33.527081836659804
2010-03-04,31.22019028238691,31.486653308162246,35.75629108282013,31.22019028238691,31.22019028238691,2.3884132067816357,2.3884132067816357,2.3884132067816357,0.007710320340161645,0.007710320340161645,0.007710320340161645,2.380702886441474,2.380702886441474,2.380702886441474,0.0,0.0,0.0,33.608603489168544
2010-03-05,31.21374222242541,31.661055174885625,35.60671975299081,31.21374222242541,31.21374222242541,2.4390981250297172,2.4390981250297172,2.4390981250297172,-0.02384135210303777,-0.02384135210303777,-0.02384135210303777,2.462939477132755,2.462939477132755,2.462939477132755,0.0,0.0,0.0,33.652840347455125
2010-03-06,31.20729416246391,31.52389356839676,35.78560336986226,31.20729416246391,31.20729416246391,2.520242451655661,2.520242451655661,2.520242451655661,-0.026941478969818175,-0.026941478969818175,-0.026941478969818175,2.547183930625479,2.547183930625479,2.547183930625479,0.0,0.0,0.0,33.72753661411957
2010-03-07,31.200846102502407,31.640077059542623,36.076250497410754,31.200846102502407,31.200846102502407,2.6609104712395006,2.6609104712395006,2.6609104712395006,0.02740412295009852,0.02740412295009852,0.02740412295009852,2.6335063482894023,2.6335063482894023,2.6335063482894023,0.0,0.0,0.0,33.86175657374191
2010-03-08,31.194398042540904,31.670594231979592,36.08917754966397,31.194398042540904,31.194398042540904,2.6956402073157055,2.6956402073157055,2.6956402073157055,-0.026273798351100518,-0.026273798351100518,-0.026273798351100518,2.721914005666806,2.721914005666806,2.721914005666806,0.0,0.0,0.0,33.89003824985661
2010-03-09,31.187949982579404,31.894068801656637,36.09227979038071,31.187949982579404,31.187949982579404,2.85419245111,2.85419245111,2.85419245111,0.041839914646249844,0.041839914646249844,0.041839914646249844,2.8123525364637505,2.8123525364637505,2.8123525364637505,0.0,0.0,0.0,34.042142433689406
2010-03-10,31.1815019226179,31.927938928669942,36.24977696134889,31.1815019226179,31.1815019226179,2.9048104424440853,2.9048104424440853,2.9048104424440853,0.00010227148740408717,0.00010227148740408717,0.00010227148740408717,2.904708170956681,2.904708170956681,2.904708170956681,0.0,0.0,0.0,34.086312365061985
2010-03-11,31.1750538626564,32.04765713611241,36.381477677254765,31.1750538626564,31.1750538626564,3.006521211235497,3.006521211235497,3.006521211235497,0.0077103203398921835,0.0077103203398921835,0.0077103203398921835,2.9988108908956046,2.9988108908956046,2.9988108908956046,0.0,0.0,0.0,34.1815750738919
2010-03-12,31.1686058026949,32.07497142777357,36.28364781538777,31.1686058026949,31.1686058026949,3.070596999645445,3.070596999645445,3.070596999645445,-0.023841352102770556,-0.023841352102770556,-0.023841352102770556,3.094438351748216,3.094438351748216,3.094438351748216,0.0,0.0,0.0,34.239202802340344
2010-03-13,31.162157742733395,32.14480817925414,36.32818031842732,31.162157742733395,31.162157742733395,3.1643789385852705,3.1643789385852705,3.1643789385852705,-0.02694147896965764,-0.02694147896965764,-0.02694147896965764,3.191320417554928,3.191320417554928,3.191320417554928,0.0,0.0,0.0,34.326536681318665
2010-03-14,31.155709682771896,32.52166934855475,36.53294472506622,31.155709682771896,31.155709682771896,3.3165482765662815,3.3165482765662815,3.3165482765662815,0.027404122950129495,0.027404122950129495,0.027404122950129495,3.2891441536161516,3.2891441536161516,3.2891441536161516,0.0,0.0,0.0,34.47225795933818
2010-03-15,31.149261622810396,32.46587052545158,36.622519575996414,31.149261622810396,31.149261622810396,3.3612853290267815,3.3612853290267815,3.3612853290267815,-0.02627379835111025,-0.02627379835111025,-0.02627379835111025,3.3875591273778913,3.3875591273778913,3.3875591273778913,0.0,0.0,0.0,34.51054695183718
2010-03-16,31.142813562848897,32.51613475383788,36.8214984683068,31.142813562848897,31.142813562848897,3.5280227923515013,3.5280227923515013,3.5280227923515013,0.04183991464631034,0.04183991464631034,0.04183991464631034,3.4861828777051906,3.4861828777051906,3.4861828777051906,0.0,0.0,0.0,34.6708363552004
2010-03-17,31.13636550288739,32.68408601967143,36.68518471704661,31.13636550288739,31.13636550288739,3.5847086980908673,3.5847086980908673,3.5847086980908673,0.00010227148744751873,0.00010227148744751873,0.00010227148744751873,3.58460642660342,3.58460642660342,3.58460642660342,0.0,0.0,0.0,34.72107420097826
2010-03-18,31.12991744292589,32.80491208782673,37.07651533338994,31.12991744292589,31.12991744292589,3.6901100449374176,3.6901100449374176,3.6901100449374176,0.007710320340090031,0.007710320340090031,0.007710320340090031,3.682399724597327,3.682399724597327,3.682399724597327,0.0,0.0,0.0,34.82002748786331
2010-03-19,31.12346938296439,32.6889934513773,36.95226663201863,31.12346938296439,31.12346938296439,3.7552755884296007,3.7552755884296007,3.7552755884296007,-0.023841352102938383,-0.023841352102938383,-0.023841352102938383,3.779116940532539,3.779116940532539,3.779116940532539,0.0,0.0,0.0,34.87874497139399
2010-03-20,31.117021323002888,32.81553795946854,36.97868231966347,31.117021323002888,31.117021323002888,3.8473600486659514,3.8473600486659514,3.8473600486659514,-0.026941478969683165,-0.026941478969683165,-0.026941478969683165,3.8743015276356343,3.8743015276356343,3.8743015276356343,0.0,0.0,0.0,34.964381371668836
2010-03-21,31.110573263041385,32.971593799112156,37.1569538330842,31.110573263041385,31.110573263041385,3.9948951422353405,3.9948951422353405,3.9948951422353405,0.02740412295016046,0.02740412295016046,0.02740412295016046,3.9674910192851804,3.9674910192851804,3.9674910192851804,0.0,0.0,0.0,35.105468405276724
2010-03-22,31.10412520307988,33.01586621138205,37.10624258608264,31.10412520307988,31.10412520307988,4.031947730856857,4.031947730856857,4.031947730856857,-0.026273798351152986,-0.026273798351152986,-0.026273798351152986,4.05822152920801,4.05822152920801,4.05822152920801,0.0,0.0,0.0,35.13607293393674
2010-03-23,31.097677143118382,33.090976709700115,37.38190602614392,31.097677143118382,31.097677143118382,4.187871865443031,4.187871865443031,4.187871865443031,0.04183991464621213,0.04183991464621213,0.04183991464621213,4.14603195079682,4.14603195079682,4.14603195079682,0.0,0.0,0.0,35.28554900856141
2010-03-24,31.091229083156882,33.22247369504251,37.61677079213053,31.091229083156882,31.091229083156882,4.23057013964927,4.23057013964927,4.23057013964927,0.0001022714873296594,0.0001022714873296594,0.0001022714873296594,4.2304678681619405,4.2304678681619405,4.2304678681619405,0.0,0.0,0.0,35.32179922280615
2010-03-25,31.084781023195376,33.26983585974812,37.533915252690505,31.084781023195376,31.084781023195376,4.318795526991619,4.318795526991619,4.318795526991619,0.007710320340019552,0.007710320340019552,0.007710320340019552,4.311085206651599,4.311085206651599,4.311085206651599,0.0,0.0,0.0,35.403576550187
2010-03-26,31.078332963233876,33.13677645284138,37.363001452898445,31.078332963233876,31.078332963233876,4.363612310209628,4.363612310209628,4.363612310209628,-0.023841352103106204,-0.023841352103106204,-0.023841352103106204,4.387453662312733,4.387453662312733,4.387453662312733,0.0,0.0,0.0,35.4419452734435
2010-03-27,31.071884903272377,33.25569994578313,37.72342518016778,31.071884903272377,31.071884903272377,4.432218478721922,4.432218478721922,4.432218478721922,-0.026941478969522637,-0.026941478969522637,-0.026941478969522637,4.459159957691445,4.459159957691445,4.459159957691445,0.0,0.0,0.0,35.5041033819943
2010-03-28,31.065436843310877,33.39805375932902,37.82073622538231,31.065436843310877,31.065436843310877,4.553215098138832,4.553215098138832,4.553215098138832,0.027404122950182352,0.027404122950182352,0.027404122950182352,4.52581097518865,4.52581097518865,4.52581097518865,0.0,0.0,0.0,35.61865194144971
2010-03-29,31.058988783349374,33.570950071431085,37.831063424209646,31.058988783349374,31.058988783349374,4.560763020473991,4.560763020473991,4.560763020473991,-0.026273798351126226,-0.026273798351126226,-0.026273798351126226,4.587036818825118,4.587036818825118,4.587036818825118,0.0,0.0,0.0,35.61975180382336
2010-03-30,31.05254072338787,33.659290434165094,37.794771796564646,31.05254072338787,31.05254072338787,4.684333765389025,4.684333765389025,4.684333765389025,0.041839914646272625,0.041839914646272625,0.041839914646272625,4.642493850742752,4.642493850742752,4.642493850742752,0.0,0.0,0.0,35.7368744887769
