ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,33.19509,18.110540127110298,25.00199840250673,33.19509,33.19509,-11.774729878398833,-11.774729878398833,-11.774729878398833,-0.08927273839893385,-0.08927273839893385,-0.08927273839893385,-11.685457139999901,-11.685457139999901,-11.685457139999901,0.0,0.0,0.0,21.420360121601167
2010-01-02,33.193194602076126,18.178910253671972,24.82018461337054,33.193194602076126,33.193194602076126,-11.696115821171437,-11.696115821171437,-11.696115821171437,0.0820716433958162,0.0820716433958162,0.0820716433958162,-11.778187464567253,-11.778187464567253,-11.778187464567253,0.0,0.0,0.0,21.497078780904687
2010-01-03,33.19129920415225,18.00382726150849,24.9505984153862,33.19129920415225,33.19129920415225,-11.817274492600315,-11.817274492600315,-11.817274492600315,0.03727802658059284,0.03727802658059284,0.03727802658059284,-11.85455251918091,-11.85455251918091,-11.85455251918091,0.0,0.0,0.0,21.374024711551936
2010-01-04,33.18940380622838,17.908501365879562,24.500139460003755,33.18940380622838,33.18940380622838,-11.858780105030458,-11.858780105030458,-11.858780105030458,0.05551237263692821,0.05551237263692821,0.05551237263692821,-11.914292477667386,-11.914292477667386,-11.914292477667386,0.0,0.0,0.0,21.33062370119792
2010-01-05,33.1875084083045,17.934810106653845,24.776695901193904,33.1875084083045,33.1875084083045,-11.925519764588,-11.925519764588,-11.925519764588,0.031785611682970484,0.031785611682970484,0.031785611682970484,-11.957305376270972,-11.957305376270972,-11.957305376270972,0.0,0.0,0.0,21.261988643716503
2010-01-06,33.18561301038062,17.679205823326175,24.628188368066585,33.18561301038062,33.18561301038062,-12.01669500953519,-12.01669500953519,-12.01669500953519,-0.033050768897553,-0.033050768897553,-0.033050768897553,-11.98364424063764,-11.98364424063764,-11.98364424063764,0.0,0.0,0.0,21.16891800084543
2010-01-07,33.18371761245675,17.803530299647527,24.44805826657451,33.18371761245675,33.18371761245675,-12.077834929266393,-12.077834929266393,-12.077834929266393,-0.08432414699989736,-0.08432414699989736,-0.08432414699989736,-11.993510782266496,-11.993510782266496,-11.993510782266496,0.0,0.0,0.0,21.10588268319036
2010-01-08,33.18182221453287,17.646369325007946,24.597740234388816,33.18182221453287,33.18182221453287,-12.076518607104006,-12.076518607104006,-12.076518607104006,-0.08927273839878692,-0.08927273839878692,-0.08927273839878692,-11.987245868705218,-11.987245868705218,-11.987245868705218,0.0,0.0,0.0,21.105303607428866
2010-01-09,33.179926816609,17.96915366869354,25.08371500709577,33.179926816609,33.179926816609,-11.883245420816797,-11.883245420816797,-11.883245420816797,0.08207164339586627,0.08207164339586627,0.08207164339586627,-11.965317064212663,-11.965317064212663,-11.965317064212663,0.0,0.0,0.0,21.2966813957922
2010-01-10,33.17803141868513,17.97158576927688,24.597634141837517,33.17803141868513,33.17803141868513,-11.891025594765491,-11.891025594765491,-11.891025594765491,0.03727802658059725,0.03727802658059725,0.03727802658059725,-11.928303621346089,-11.928303621346089,-11.928303621346089,0.0,0.0,0.0,21.28700582391964
2010-01-11,33.17613602076125,17.9879427973872,24.932256277118412,33.17613602076125,33.17613602076125,-11.821367003706817,-11.821367003706817,-11.821367003706817,0.055512372637087554,0.055512372637087554,0.055512372637087554,-11.876879376343904,-11.876879376343904,-11.876879376343904,0.0,0.0,0.0,21.35476901705443
2010-01-12,33.174240622837374,17.991308584533844,24.765490859522917,33.174240622837374,33.174240622837374,-11.78000844833384,-11.78000844833384,-11.78000844833384,0.03178561168327255,0.03178561168327255,0.03178561168327255,-11.811794060017112,-11.811794060017112,-11.811794060017112,0.0,0.0,0.0,21.394232174503536
2010-01-13,33.17234522491349,17.886044667213703,25.11272794889005,33.17234522491349,33.17234522491349,-11.76690434814148,-11.76690434814148,-11.76690434814148,-0.03305076889767572,-0.03305076889767572,-0.03305076889767572,-11.733853579243805,-11.733853579243805,-11.733853579243805,0.0,0.0,0.0,21.405440876772012
2010-01-14,33.170449826989625,17.892380478845677,24.89037734884148,33.170449826989625,33.170449826989625,-11.72822399772777,-11.72822399772777,-11.72822399772777,-0.08432414699988289,-0.08432414699988289,-0.08432414699988289,-11.64389985072789,-11.64389985072789,-11.64389985072789,0.0,0.0,0.0,21.442225829261854
2010-01-15,33.16855442906574,18.15260128829123,25.296104599352486,33.16855442906574,33.16855442906574,-11.63206351590527,-11.63206351590527,-11.63206351590527,-0.08927273839872386,-0.08927273839872386,-0.08927273839872386,-11.542790777506545,-11.542790777506545,-11.542790777506545,0.0,0.0,0.0,21.536490913160474
2010-01-16,33.16665903114187,18.45138195216316,25.24366197452442,33.16665903114187,33.16665903114187,-11.34930930607149,-11.34930930607149,-11.34930930607149,0.08207164339593465,0.08207164339593465,0.08207164339593465,-11.431380949467425,-11.431380949467425,-11.431380949467425,0.0,0.0,0.0,21.81734972507038
2010-01-17,33.164763633218,18.60104788826358,25.263418219658696,33.164763633218,33.164763633218,-11.27322559546597,-11.27322559546597,-11.27322559546597,0.03727802658054594,0.03727802658054594,0.03727802658054594,-11.310503622046514,-11.310503622046514,-11.310503622046514,0.0,0.0,0.0,21.89153803775203
2010-01-18,33.16286823529412,18.344746359017975,25.345649152674387,33.16286823529412,33.16286823529412,-11.125442110473651,-11.125442110473651,-11.125442110473651,0.05551237263703759,0.05551237263703759,0.05551237263703759,-11.180954483110689,-11.180954483110689,-11.180954483110689,0.0,0.0,0.0,22.03742612482047
2010-01-19,33.160972837370245,18.661478061605955,25.71327151505852,33.160972837370245,33.160972837370245,-11.011692046386383,-11.011692046386383,-11.011692046386383,0.0317856116830837,0.0317856116830837,0.0317856116830837,-11.043477658069465,-11.043477658069465,-11.043477658069465,0.0,0.0,0.0,22.149280790983862
2010-01-20,33.15907743944637,18.753487286613133,25.80205343336543,33.15907743944637,33.15907743944637,-10.93180509818132,-10.93180509818132,-10.93180509818132,-0.033050768897820625,-0.033050768897820625,-0.033050768897820625,-10.898754329283499,-10.898754329283499,-10.898754329283499,0.0,0.0,0.0,22.22727234126505
2010-01-21,33.157182041522496,18.753297318617737,25.608549052083802,33.157182041522496,33.157182041522496,-10.831718407118686,-10.831718407118686,-10.831718407118686,-0.0843241469998684,-0.0843241469998684,-0.0843241469998684,-10.747394260118815,-10.747394260118815,-10.747394260118815,0.0,0.0,0.0,22.32546363440381
2010-01-22,33.15528664359862,19.13640695003811,25.83103041058606,33.15528664359862,33.15528664359862,-10.679203157495897,-10.679203157495897,-10.679203157495897,-0.08927273839880316,-0.08927273839880316,-0.08927273839880316,-10.589930419097092,-10.589930419097092,-10.589930419097092,0.0,0.0,0.0,22.476083486102723
2010-01-23,33.15339124567474,19.367601585952,26.119747764364554,33.15339124567474,33.15339124567474,-10.344745155060744,-10.344745155060744,-10.344745155060744,0.08207164339581707,0.08207164339581707,0.08207164339581707,-10.42681679845656,-10.42681679845656,-10.42681679845656,0.0,0.0,0.0,22.808646090613998
2010-01-24,33.15149584775087,19.468426263471784,26.35477965295342,33.15149584775087,33.15149584775087,-10.22115139059775,-10.22115139059775,-10.22115139059775,0.037278026580667145,0.037278026580667145,0.037278026580667145,-10.258429417178418,-10.258429417178418,-10.258429417178418,0.0,0.0,0.0,22.930344457153122
