ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,33.206661,17.90208150608155,24.79316539892687,33.206661,33.206661,-11.819571031780214,-11.819571031780214,-11.819571031780214,-0.0862904357803144,-0.0862904357803144,-0.0862904357803144,-11.733280595999899,-11.733280595999899,-11.733280595999899,0.0,0.0,0.0,21.387089968219783
2010-01-02,33.2041858383819,18.067878182389478,24.996394578594323,33.2041858383819,33.2041858383819,-11.75937147001458,-11.75937147001458,-11.75937147001458,0.0679001779867057,0.0679001779867057,0.0679001779867057,-11.827271648001284,-11.827271648001284,-11.827271648001284,0.0,0.0,0.0,21.444814368367325
2010-01-03,33.2017106767638,18.088203336329443,24.87507970290841,33.2017106767638,33.2017106767638,-11.865273335447146,-11.865273335447146,-11.865273335447146,0.03949537763631333,0.03949537763631333,0.03949537763631333,-11.90476871308346,-11.90476871308346,-11.90476871308346,0.0,0.0,0.0,21.336437341316657
2010-01-04,33.19923551514571,17.89016095788558,24.598729306452686,33.19923551514571,33.19923551514571,-11.915376256750793,-11.915376256750793,-11.915376256750793,0.050108832158467585,0.050108832158467585,0.050108832158467585,-11.965485088909261,-11.965485088909261,-11.965485088909261,0.0,0.0,0.0,21.283859258394916
2010-01-05,33.19676035352761,17.952966742887664,24.647960838666773,33.19676035352761,33.19676035352761,-11.979338884362738,-11.979338884362738,-11.979338884362738,0.02995725999893227,0.02995725999893227,0.02995725999893227,-12.00929614436167,-12.00929614436167,-12.00929614436167,0.0,0.0,0.0,21.21742146916487
2010-01-06,33.19428519190951,17.634415503366768,24.764957467263546,33.19428519190951,33.19428519190951,-12.067312635605841,-12.067312635605841,-12.067312635605841,-0.03107574700023896,-0.03107574700023896,-0.03107574700023896,-12.036236888605602,-12.036236888605602,-12.036236888605602,0.0,0.0,0.0,21.126972556303667
2010-01-07,33.19181003029141,17.372239776362793,24.39129817440988,33.19181003029141,33.19181003029141,-12.116591428996221,-12.116591428996221,-12.116591428996221,-0.07009546499990593,-0.07009546499990593,-0.07009546499990593,-12.046495963996314,-12.046495963996314,-12.046495963996314,0.0,0.0,0.0,21.075218601295184
2010-01-08,33.18933486867331,17.79551322959,24.648767598698125,33.18933486867331,33.18933486867331,-12.126696695306912,-12.126696695306912,-12.126696695306912,-0.08629043578020702,-0.08629043578020702,-0.08629043578020702,-12.040406259526705,-12.040406259526705,-12.040406259526705,0.0,0.0,0.0,21.062638173366402
2010-01-09,33.18685970705521,17.693136745357513,24.80245087256277,33.18685970705521,33.18685970705521,-11.950532260730276,-11.950532260730276,-11.950532260730276,0.06790017798675045,0.06790017798675045,0.06790017798675045,-12.018432438717024,-12.018432438717024,-12.018432438717024,0.0,0.0,0.0,21.236327446324935
2010-01-10,33.18438454543712,17.824251688389502,24.888607953392828,33.18438454543712,33.18438454543712,-11.941660386811034,-11.941660386811034,-11.941660386811034,0.03949537763632684,0.03949537763632684,0.03949537763632684,-11.981155764447362,-11.981155764447362,-11.981155764447362,0.0,0.0,0.0,21.242724158626086
2010-01-11,33.18190938381902,17.984607157525414,24.96936731214697,33.18190938381902,33.18190938381902,-11.879147848298784,-11.879147848298784,-11.879147848298784,0.05010883215862873,0.05010883215862873,0.05010883215862873,-11.929256680457412,-11.929256680457412,-11.929256680457412,0.0,0.0,0.0,21.302761535520233
2010-01-12,33.179434222200925,17.909540870046357,24.793634885577596,33.179434222200925,33.179434222200925,-11.833538412689638,-11.833538412689638,-11.833538412689638,0.029957259999206766,0.029957259999206766,0.029957259999206766,-11.863495672688844,-11.863495672688844,-11.863495672688844,0.0,0.0,0.0,21.345895809511287
2010-01-13,33.176959060582824,18.097589399368125,24.833787895996224,33.176959060582824,33.176959060582824,-11.81576872829059,-11.81576872829059,-11.81576872829059,-0.03107574700034238,-0.03107574700034238,-0.03107574700034238,-11.784692981290249,-11.784692981290249,-11.784692981290249,0.0,0.0,0.0,21.36119033229223
2010-01-14,33.17448389896472,18.098578571391684,24.737367675984476,33.17448389896472,33.17448389896472,-11.76380322945445,-11.76380322945445,-11.76380322945445,-0.07009546499990109,-0.07009546499990109,-0.07009546499990109,-11.693707764454548,-11.693707764454548,-11.693707764454548,0.0,0.0,0.0,21.410680669510274
2010-01-15,33.17200873734662,18.26534407974889,24.863737099629684,33.17200873734662,33.17200873734662,-11.677707763045385,-11.677707763045385,-11.677707763045385,-0.08629043578015026,-0.08629043578015026,-0.08629043578015026,-11.591417327265235,-11.591417327265235,-11.591417327265235,0.0,0.0,0.0,21.49430097430124
2010-01-16,33.16953357572853,18.32614641939068,25.078471327567424,33.16953357572853,33.16953357572853,-11.410796843996629,-11.410796843996629,-11.410796843996629,0.067900177986837,0.067900177986837,0.067900177986837,-11.478697021983468,-11.478697021983468,-11.478697021983468,0.0,0.0,0.0,21.7587367317319
2010-01-17,33.16705841411043,18.359308895405942,25.237945867103587,33.16705841411043,33.16705841411043,-11.316906023176747,-11.316906023176747,-11.316906023176747,0.03949537763625615,0.03949537763625615,0.03949537763625615,-11.356401400813004,-11.356401400813004,-11.356401400813004,0.0,0.0,0.0,21.85015239093368
2010-01-18,33.16458325249233,18.643677536124994,25.167024670868575,33.16458325249233,33.16458325249233,-11.175238326705292,-11.175238326705292,-11.175238326705292,0.05010883215857623,0.05010883215857623,0.05010883215857623,-11.225347158863867,-11.225347158863867,-11.225347158863867,0.0,0.0,0.0,21.989344925787037
2010-01-19,33.162108090874234,18.819315293040926,25.640638369859676,33.162108090874234,33.162108090874234,-11.056341085052683,-11.056341085052683,-11.056341085052683,0.029957259999035223,0.029957259999035223,0.029957259999035223,-11.086298345051718,-11.086298345051718,-11.086298345051718,0.0,0.0,0.0,22.10576700582155
2010-01-20,33.159632929256134,18.636285688278072,25.431630138616903,33.159632929256134,33.159632929256134,-10.971029990787121,-10.971029990787121,-10.971029990787121,-0.031075747000468494,-0.031075747000468494,-0.031075747000468494,-10.939954243786653,-10.939954243786653,-10.939954243786653,0.0,0.0,0.0,22.18860293846901
2010-01-21,33.15715776763804,19.050650730861513,25.77183461480711,33.15715776763804,33.15715776763804,-10.857035707819744,-10.857035707819744,-10.857035707819744,-0.07009546499989626,-0.07009546499989626,-0.07009546499989626,-10.786940242819849,-10.786940242819849,-10.786940242819849,0.0,0.0,0.0,22.300122059818296
2010-01-22,33.15468260601994,18.858127368469805,26.01906488344904,33.15468260601994,33.15468260601994,-10.714092340919967,-10.714092340919967,-10.714092340919967,-0.0862904357802309,-0.0862904357802309,-0.0862904357802309,-10.627801905139735,-10.627801905139735,-10.627801905139735,0.0,0.0,0.0,22.44059026509997
2010-01-23,33.152207444401846,19.45396605524766,26.287915592192945,33.152207444401846,33.152207444401846,-10.395102180369937,-10.395102180369937,-10.395102180369937,0.06790017798669053,0.06790017798669053,0.06790017798669053,-10.463002358356626,-10.463002358356626,-10.463002358356626,0.0,0.0,0.0,22.757105264031907
2010-01-24,33.14973228278374,19.70292994795985,26.452807060435436,33.14973228278374,33.14973228278374,-10.253427629161505,-10.253427629161505,-10.253427629161505,0.03949537763639558,0.03949537763639558,0.03949537763639558,-10.292923006797901,-10.292923006797901,-10.292923006797901,0.0,0.0,0.0,22.89630465362223
2010-01-25,33.147257121165644,19.691874841558693,26.665882709903393,33.147257121165644,33.147257121165644,-10.06775863074505,-10.06775863074505,-10.06775863074505,0.05010883215852373,0.05010883215852373,0.05010883215852373,-10.117867462903574,-10.117867462903574,-10.117867462903574,0.0,0.0,0.0,23.079498490420594
2010-01-26,33.144781959547544,19.766661758596264,26.38125954973814,33.144781959547544,33.144781959547544,-9.90811122887056,-9.90811122887056,-9.90811122887056,0.029957259999071287,0.029957259999071287,0.029957259999071287,-9.93806848886963,-9.93806848886963,-9.93806848886963,0.0,0.0,0.0,23.236670730676984
2010-01-27,33.14230679792945,19.990157009125127,26.78114203157419,33.14230679792945,33.14230679792945,-9.784773387147919,-9.784773387147919,-9.784773387147919,-0.0310757470002166,-0.0310757470002166,-0.0310757470002166,-9.753697640147703,-9.753697640147703,-9.753697640147703,0.0,0.0,0.0,23.35753341078153
2010-01-28,33.13983163631135,20.05704870925801,26.97970267240838,33.13983163631135,33.13983163631135,-9.634972677536553,-9.634972677536553,-9.634972677536553,-0.07009546499995437,-0.07009546499995437,-0.07009546499995437,-9.564877212536599,-9.564877212536599,-9.564877212536599,0.0,0.0,0.0,23.504858958774797
2010-01-29,33.137356474693256,20.00907750572756,27.042552666395522,33.137356474693256,33.137356474693256,-9.457984452865404,-9.457984452865404,-9.457984452865404,-0.08629043578017415,-0.08629043578017415,-0.08629043578017415,-9.37169401708523,-9.37169401708523,-9.37169401708523,0.0,0.0,0.0,23.679372021827852
2010-01-30,33.134881313075155,20.63161998057865,27.364397439012613,33.134881313075155,33.134881313075155,-9.106314266373522,-9.106314266373522,-9.106314266373522,0.06790017798662765,0.06790017798662765,0.06790017798662765,-9.174214444360148,-9.174214444360148,-9.174214444360148,0.0,0.0,0.0,24.02856704670163
2010-01-31,33.132406151457054,20.728742163181234,27.368487811605217,33.132406151457054,33.132406151457054,-8.9330048563262,-8.9330048563262,-8.9330048563262,0.03949537763628319,0.03949537763628319,0.03949537763628319,-8.972500233962482,-8.972500233962482,-8.972500233962482,0.0,0.0,0.0,24.199401295130855
2010-02-01,33.12993098983896,20.882696875122736,27.89446495262598,33.12993098983896,33.12993098983896,-8.716515505869708,-8.716515505869708,-8.716515505869708,0.050108832158471214,0.050108832158471214,0.050108832158471214,-8.76662433802818,-8.76662433802818,-8.76662433802818,0.0,0.0,0.0,24.413415483969253
2010-02-02,33.12745582822085,21.157152082198667,27.827896037548623,33.12745582822085,33.12745582822085,-8.526728999861552,-8.526728999861552,-8.526728999861552,0.02995725999893057,0.02995725999893057,0.02995725999893057,-8.556686259860484,-8.556686259860484,-8.556686259860484,0.0,0.0,0.0,24.6007268283593
2010-02-03,33.12498066660276,21.265877211814516,27.712959236775276,33.12498066660276,33.12498066660276,-8.373902008259419,-8.373902008259419,-8.373902008259419,-0.031075747000320023,-0.031075747000320023,-0.031075747000320023,-8.3428262612591,-8.3428262612591,-8.3428262612591,0.0,0.0,0.0,24.75107865834334
2010-02-04,33.12250550498466,21.49584620683504,28.317168322784543,33.12250550498466,33.12250550498466,-8.19533332931472,-8.19533332931472,-8.19533332931472,-0.07009546499981655,-0.07009546499981655,-0.07009546499981655,-8.125237864314903,-8.125237864314903,-8.125237864314903,0.0,0.0,0.0,24.927172175669938
